162,CLWD,PNK,"CloudCommerce, Inc.",0.090,0.000,0.000,0.085,0.099,9272624,0.090,0.088,0.001,0.183,0.051,0.018,37402748,33388284,NULL,608054246,NULL,NULL
163,CHUC,PNK,"Charlie's Holdings, Inc.",0.008,NULL,NULL,0.007,0.009,24471788,0.008,0.007,0.003,0.047,0.007,0.007,39246564,23857642,NULL,2365298236,5,1231977600
164,TLSS,PNK,"Transportation and Logistics Systems, Inc.",0.050,0.000,0.000,0.045,0.051,24844481,0.050,0.048,0.010,3.350,0.041,0.025,51703063,50138585,NULL,1557067013,NULL,NULL
165,PLYZ,PNK,Plyzer Technologies Inc.,0.002,0.000,0.000,0.002,0.003,357568681,0.002,0.002,0.000,0.050,0.001,0.000,396275986,1338834921,NULL,118763104,NULL,NULL
166,A,NYQ,"Agilent Technologies, Inc.",121.210,0.000,0.000,119.280,121.685,1691741,121.210,121.560,61.130,129.340,121.805,107.450,1801509,1616600,NULL,305729525,2266746,1607990400
167,AA,NYQ,Alcoa Corporation,18.650,0.000,0.000,17.775,18.840,6704755,18.650,18.500,5.160,26.200,22.221,16.627,5731267,10267214,NULL,185232297,8761436,1607990400
168,AAA,PCX,AAF First Priority CLO Bond ETF,25.160,0.000,0.000,25.145,25.160,3099,25.160,25.150,24.870,25.170,25.100,25.014,2000,1371,NULL,NULL,NULL,NULL
169,AAAU,PCX,Goldman Sachs Physical Gold ETF,18.560,0.000,0.000,18.345,18.590,616268,18.560,18.330,14.490,20.630,18.612,18.903,662083,997885,NULL,NULL,NULL,NULL
170,AACG,NMS,ATA Creativity Global,1.300,0.000,0.000,1.300,1.420,104996,1.300,1.270,0.610,1.870,1.255,1.185,52988,54671,NULL,9333057,1193,1607990400
171,AACQ,NCM,Artius Acquisition Inc.,10.550,0.000,0.000,10.550,10.720,758802,10.550,10.580,9.575,11.300,10.632,10.114,928952,1659028,NULL,NULL,NULL,NULL
172,AADR,PCX,AdvisorShares Dorsey Wright ADR ETF,60.799,0.000,0.000,59.754,60.865,6118,60.799,61.220,33.750,64.420,61.520,57.902,9463,6057,NULL,NULL,NULL,NULL
173,AAIC,NYQ,Arlington Asset Investment Corp.,3.680,0.000,0.000,3.600,3.680,186019,3.680,3.690,1.400,6.770,3.817,3.097,243896,182266,NULL,32659184,913933,1607990400
174,AAL,NMS,American Airlines Group Inc.,18.690,0.000,0.000,16.750,18.730,113054814,18.690,18.100,8.250,30.780,16.004,13.637,82035368,115321571,NULL,615227438,152632087,1607990400
175,AAMC,ASE,Altisource Asset Management Corporation,21.380,0.000,0.000,20.446,21.390,4372,21.380,20.980,10.250,32.240,22.290,20.773,2986,3566,NULL,554174,6033,1607990400
176,AAME,NGM,Atlantic American Corporation,2.360,0.000,0.000,2.250,2.410,17074,2.360,2.440,1.580,3.480,2.283,2.094,27978,13257,NULL,3146045,542,1607990400
177,AAN,NYQ,"The Aaron's Company, Inc.",17.430,0.000,0.000,16.760,17.810,502875,17.430,17.460,16.200,31.000,19.147,19.158,974984,420183,NULL,69157438,525866,1607990400
178,AAOI,NGM,"Applied Optoelectronics, Inc.",11.410,0.000,0.000,10.947,12.000,892476,11.410,11.300,5.000,17.570,9.680,10.559,847973,1240542,NULL,21701064,3820726,1607990400
179,AAON,NMS,"AAON, Inc.",73.810,0.000,0.000,72.120,74.410,398070,73.810,74.030,40.480,77.510,68.488,62.288,199744,241057,NULL,41230506,3537179,1607990400
180,AAP,NYQ,"Advance Auto Parts, Inc.",153.000,0.000,0.000,148.280,154.550,1292829,153.000,153.340,71.330,177.920,161.589,154.946,1050468,1604583,NULL,63465437,2997842,1607990400
181,AAPL,NMS,Apple Inc.,135.830,0.000,0.000,130.210,136.740,177523812,135.830,137.090,53.153,145.090,131.923,118.557,109613798,135948100,NULL,16770972142,99897228,1607990400
182,AAT,NYQ,"American Assets Trust, Inc.",28.330,0.000,0.000,27.630,28.890,413573,28.330,28.500,20.150,46.940,28.562,26.548,320121,282283,NULL,52589622,1082209,1607990400
183,AAU,ASE,Almaden Minerals Ltd.,0.601,0.000,0.000,0.600,0.850,30433037,0.601,0.589,0.210,1.240,0.574,0.776,2768439,7961416,NULL,114964799,598693,1607990400
