SID,Ticker,Exchange,Name,Price,Ask,Bid,DayLow,DayHigh,Volume,MarketOpen,MarketClose,FiftyTwoWeekLow,FiftyTwoWeekHigh,FiftyDayAverage,FiftyTwoWeekChange,TwoHundredDayAverage,AverageVolume,TenDayAverageVolume,Country,Sector,Industry,LastDividendValue,PayoutRatio,ProfitMargins,FloatShares,ShortShares,ShortSharesMonthAgo,Employees,BookValue,EarningsQuarterlyGrowth,NetIncomeToCommon,SharesOutstanding,ShortRatio,Market,LongBusinessSummary
8505,CLWD,PNK,"CloudCommerce, Inc.",0.086,0.000,0.000,0.076,0.089,8045422,0.086,0.086,0.001,0.183,0.052,NULL,0.019,36971855,33607077,United States,Technology,Software—Application,NULL,0.000,-0.876,608054246,NULL,NULL,49,-0.0070,NULL,-9223731.00,645939008,NULL,us_market,"CloudCommerce, Inc. provides data driven solutions worldwide. Its solutions help its clients to acquire, engage, and retain their customers by leveraging digital strategies and technologies. The company offers data analytics for retail, wholesale, distribution, logistics, manufacturing, political, and other industries; digital marketing services; branding and creative services; and development and managed infrastructure support services. The company was formerly known as Warp 9, Inc. and changed its name to CloudCommerce, Inc. in September 2015. CloudCommerce, Inc. was founded in 1998 and is based in San Antonio, Texas."
8506,CHUC,PNK,"Charlie's Holdings, Inc.",0.010,NULL,NULL,0.008,0.012,13589676,0.010,0.010,0.003,0.047,0.007,NULL,0.007,39199196,23956783,United States,Consumer Defensive,Tobacco,NULL,0.000,-0.900,2365298236,5,1231977600,59,0.0000,NULL,-16179000.00,18990800896,0.060,us_market,"Charlie's Holdings, Inc. formulates, markets, and distributes e-cigarette liquids and vaping systems in the United States. The company also offers energy drink under the Bazi brand name. It sells its products through distributors, specialty retailers, and third-party online resellers to approximately 90 countries, primarily, including the United Kingdom, Italy, Spain, Belgium, Australia, Sweden, and Canada. The company was formerly known as True Drinks Holdings, Inc. and changed its name to Charlie's Holdings, Inc. The company was incorporated in 2014 and is headquartered in Costa Mesa, California."
8507,TLSS,PNK,"Transportation and Logistics Systems, Inc.",0.048,0.000,0.000,0.043,0.049,36557491,0.048,0.048,0.010,3.350,0.041,NULL,0.025,51319554,51728616,United States,Industrials,Trucking,NULL,0.000,-1.277,1557067013,NULL,NULL,530,-0.0080,NULL,-61096752.00,1564390016,NULL,us_market,"Transportation and Logistics Systems, Inc. provides tractor-trailer and box truck deliveries of packages on the east coast of the United States. The company offers package delivery services primarily in New York, New Jersey, Pennsylvania, Georgia, Florida, Ohio, and Tennessee, principally for Amazon and its customers, and for other customers. It also provides various logistics services to Amazon and storage solutions for Amazon's customers with limited storage facilities. The company is based in Jupiter, Florida."
8508,PLYZ,PNK,Plyzer Technologies Inc.,0.002,0.000,0.000,0.002,0.003,365262743,0.002,0.002,0.000,0.050,0.001,NULL,0.000,398271698,467265874,Canada,Technology,Software—Infrastructure,NULL,0.000,0.000,118763104,NULL,NULL,37,-0.0190,NULL,-10827745.00,119066000,NULL,us_market,"Plyzer Technologies Inc., through its subsidiaries, provides custom, real-time, cloud-based business intelligence solutions for brands to analyze critical online price and market data. Its customizable dashboard enables country, regional and local sales, production, and logistics operations to adapt to prevailing market conditions. The company was formerly known as ZD Ventures Corporation and changed its name to Plyzer Technologies Inc. in March 2017. Plyzer Technologies Inc. was founded in 2005 and is based in Toronto, Canada."
8509,A,NYQ,"Agilent Technologies, Inc.",122.500,123.340,123.330,122.415,125.850,1367103,122.500,120.830,61.130,129.340,121.775,NULL,107.761,1793303,1593016,United States,Healthcare,Diagnostics & Research,0.19,0.313,0.135,305729525,2266746,1607990400,16400,15.9150,0.14,719000000.00,306000000,1.310,us_market,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid and gas chromatography systems and components; liquid and gas chromatography mass spectrometry systems; inductively coupled plasma mass and optical emission spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate readers; laboratory software, information management, and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps; and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression profiling, as well as sequencing target enrichment, genetic data management, and interpretation support software; and equipment to produce synthesized oligonucleotide. It also offers immunohistochemistry, in situ hybridization, and hematoxylin and eosin staining and special staining; instruments, consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. It has collaboration agreement with SGS AXYS. The company was incorporated in 1999 and is headquartered in Santa Clara, California."
8510,AA,NYQ,Alcoa Corporation,19.160,19.200,19.120,18.805,19.375,7137989,19.160,18.820,5.160,26.200,22.118,NULL,16.694,5786346,7833250,United States,Basic Materials,Aluminum,0.09,0.000,-0.018,185232297,8761436,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8511,AAA,PCX,AAF First Priority CLO Bond ETF,25.140,25.140,25.120,25.130,25.130,7,25.140,25.130,24.870,25.170,25.101,NULL,25.015,1988,950,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8512,AAAU,PCX,Goldman Sachs Physical Gold ETF,18.310,18.450,18.290,18.220,18.320,333025,18.310,18.520,14.490,20.630,18.609,NULL,18.913,660693,1133233,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8513,AACG,NGM,ATA Creativity Global,1.340,1.400,1.390,1.340,1.410,25298,1.340,1.340,0.610,1.870,1.257,NULL,1.180,52596,47600,China,Consumer Defensive,Education & Training Services,6.00,0.000,-0.670,9333057,1193,1607990400,768,NULL,NULL,NULL,31350500,0.030,us_market,"ATA Creativity Global, together with its subsidiaries, provides educational services to individual students through its training center network in China. The company's educational services include portfolio training, educational travel, overseas study counseling, and other educational services. It also offers online courses for students. The company was formerly known as ATA Inc. and changed its name to ATA Creativity Global in September 2019. ATA Creativity Global was founded in 1999 and is based in Beijing, China."
8514,AACQ,NMS,Artius Acquisition Inc.,10.790,10.930,10.860,10.780,10.959,1032516,10.790,10.750,9.575,11.300,10.636,NULL,10.121,935448,1614800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8515,AADR,PCX,AdvisorShares Dorsey Wright ADR ETF,62.631,62.980,62.730,62.611,62.936,3887,62.631,61.880,33.750,64.420,61.531,NULL,57.957,9387,6000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8516,AAIC,NYQ,Arlington Asset Investment Corp.,3.640,3.640,3.600,3.585,3.690,166796,3.640,3.660,1.400,6.770,3.812,NULL,3.102,242945,192166,United States,Real Estate,REIT—Mortgage,0.23,NULL,0.000,32659184,913933,1607990400,11,NULL,NULL,-54799000.00,33427700,4.220,us_market,"Arlington Asset Investment Corp. (NYSE: AI) is a principal investment firm that currently invests primarily in mortgage-related and other assets.  The Company is headquartered in the Washington, D.C. metropolitan area.  For more information, please visit www.arlingtonasset.com."
8517,AAL,NMS,American Airlines Group Inc.,17.030,16.680,16.660,16.550,17.260,39287766,17.030,16.840,8.250,30.780,16.029,NULL,13.670,81514720,127858833,United States,Industrials,Airlines,0.10,NULL,-0.512,615227438,152632087,1607990400,102700,-11.0490,NULL,-8885000192.00,621480000,2.580,us_market,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. It provides scheduled air transportation services for passengers and cargo. As of December 31, 2019, the company operated a mainline fleet of 942 aircraft. It serves 365 destinations in approximately 61 countries, principally from its hubs and gateways in Charlotte, Chicago, Dallas/Fort Worth, London Heathrow, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C. American Airlines Group Inc. has strategic partnership with JetBlue Airways Corp. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas."
8518,AAMC,ASE,Altisource Asset Management Corporation,21.980,22.370,21.340,21.950,21.950,622,21.980,22.370,10.250,32.240,22.293,NULL,20.831,2967,3466,United States,Financial Services,Asset Management,NULL,0.000,-0.096,554174,6033,1607990400,109,-126.7290,NULL,-14802000.00,1650210,1.770,us_market,"Altisource Asset Management Corporation, an asset management company, provides portfolio management and corporate governance services to institutional investors in the United States. The company offers its services under an asset management agreement to Altisource Residential Corporation, which acquires and manages single-family rental properties for working class families. It also provides management services to NewSource Reinsurance Company Ltd. The company was founded in 2012 and is headquartered in Christiansted, Virgin Islands."
8519,AAME,NGM,Atlantic American Corporation,2.320,2.290,2.220,2.230,2.320,23523,2.320,2.290,1.580,3.480,2.284,NULL,2.102,27811,15116,United States,Financial Services,Insurance—Life,0.02,0.000,0.008,3146045,542,1607990400,151,6.2680,NULL,1192000.00,20414300,0.010,us_market,"Atlantic American Corporation, through its subsidiaries, provides life and health, and property and casualty insurance products in the United States. It operates through American Southern and Bankers Fidelity segments. The company offers property and casualty insurance products, including business automobile insurance coverage for state governments, local municipalities, and other motor pools and fleets; and inland marine and general liability insurance products. It also provides surety bond coverage for school bus transportation and subdivision construction, as well as performance and payment bonds. In addition, it provides term, individual and group whole life insurance, as well as medicare supplement and other accident and health insurance products. The company markets its products through independent agents and brokers. Atlantic American Corporation was founded in 1968 and is based in Atlanta, Georgia."
8520,AAN,NYQ,"The Aaron's Company, Inc.",18.190,18.390,18.250,18.010,18.720,302662,18.190,17.960,16.200,31.000,19.111,NULL,19.131,963624,447600,United States,Consumer Cyclical,Specialty Retail,0.04,0.000,-0.143,69157438,525866,1607990400,10100,24.4740,7.21,-248264992.00,33778500,0.710,us_market,"The Aarons Company Inc. provides lease-purchase solutions. It engages in direct-to-consumer sales and lease ownership of furniture, home appliances, consumer electronics, and accessories through its approximately 1,400 Company-operated and franchised stores in United States Canada, and Puerto Rico, as well as its e-commerce platform. It also manufactures and supplies bedding and upholstered furniture through company-operated and franchised stores. The company was formerly known as Aaron's SpinCo, Inc. The Aarons Company Inc. is headquartered in Atlanta, Georgia."
8521,AAOI,NGM,"Applied Optoelectronics, Inc.",11.050,10.790,10.300,10.260,11.080,650484,11.050,11.000,5.000,17.570,9.720,NULL,10.557,846680,1412666,United States,Technology,Semiconductors,NULL,0.000,-0.348,21701064,3820726,1607990400,3115,11.5860,NULL,-80442000.00,22976200,4.680,us_market,"Applied Optoelectronics, Inc. designs, manufactures, and sells various fiber-optic networking products worldwide. It offers optical modules, lasers, transmitters and transceivers, and turn-key equipment, as well as headend, node, and distribution equipment. The company sells its products to internet data center operators, cable television and telecommunications equipment manufacturers, and internet service providers through its direct and indirect sales channels. Applied Optoelectronics, Inc. was founded in 1997 and is headquartered in Sugar Land, Texas."
8522,AAON,NMS,"AAON, Inc.",75.710,75.750,75.680,74.490,76.350,125745,75.710,74.960,40.480,77.510,68.684,NULL,62.448,199832,260500,United States,Industrials,Building Products & Equipment,0.19,0.238,0.149,41232073,3537179,1607990400,2290,6.5990,0.43,77390000.00,52242100,17.770,us_market,"AAON, Inc., together with its subsidiaries, engages in engineering, manufacturing, marketing, and selling air conditioning and heating equipment in the United States and Canada. It offers rooftop units, chillers, packaged outdoor mechanical rooms, air handling units, makeup air units, energy recovery units, condensing units, geothermal and water-source heat pumps, self-contained units, coils, and controls. The company markets and sells its products to retail, manufacturing, educational, lodging, supermarket, medical, and other commercial industries. It sells its products through a network of manufacturers' representatives and internal sales force. The company was incorporated in 1987 and is based in Tulsa, Oklahoma."
8523,AAP,NYQ,"Advance Auto Parts, Inc.",151.870,155.020,154.550,151.080,156.580,1257838,151.870,150.970,71.330,177.920,161.267,NULL,154.988,1060488,1773183,United States,Consumer Cyclical,Specialty Retail,0.25,0.118,0.048,63465437,2997842,1607990400,39000,55.3460,0.19,476931008.00,67854496,3.210,us_market,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. Advance Auto Parts, Inc. operates its stores under the Advance Auto Parts, Autopart International, Carquest, and Worldpac brand names. As of December 28, 2019, it operated 4,877 stores and 160 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,253 independently owned Carquest branded stores in Mexico, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina."
