SID,Ticker,Exchange,Name,DateTimePulled_EST,Price,Ask,Bid,DayLow,DayHigh,Volume,MarketOpen,MarketClose,FiftyTwoWeekLow,FiftyTwoWeekHigh,FiftyDayAverage,FiftyTwoWeekChange,TwoHundredDayAverage,AverageVolume,TenDayAverageVolume,Country,Sector,Industry,LastDividendValue,PayoutRatio,ProfitMargins,FloatShares,ShortShares,ShortSharesMonthAgo,Employees,BookValue,EarningsQuarterlyGrowth,NetIncomeToCommon,SharesOutstanding,ShortRatio,Market,LongBusinessSummary
120,CLWD,PNK,"CloudCommerce, Inc.",Feb  3 2021 11:27PM,0.089,0.000,0.000,0.080,0.089,9942809,0.089,0.086,0.001,0.183,0.054,NULL,0.019,37030774,29955412,United States,Technology,Software—Application,NULL,0.000,-0.876,608054246,NULL,NULL,49,-0.0070,NULL,-9223731.00,645939008,NULL,us_market,"CloudCommerce, Inc. provides data driven solutions worldwide. Its solutions help its clients to acquire, engage, and retain their customers by leveraging digital strategies and technologies. The company offers data analytics for retail, wholesale, distribution, logistics, manufacturing, political, and other industries; digital marketing services; branding and creative services; and development and managed infrastructure support services. The company was formerly known as Warp 9, Inc. and changed its name to CloudCommerce, Inc. in September 2015. CloudCommerce, Inc. was founded in 1998 and is based in San Antonio, Texas."
121,CHUC,PNK,"Charlie's Holdings, Inc.",Feb  3 2021 11:27PM,0.009,NULL,NULL,0.009,0.011,11926745,0.009,0.009,0.003,0.047,0.007,NULL,0.007,38423151,22475771,United States,Consumer Defensive,Tobacco,NULL,0.000,-0.900,2365298236,5,1231977600,59,0.0000,NULL,-16179000.00,18990800896,0.060,us_market,"Charlie's Holdings, Inc. formulates, markets, and distributes e-cigarette liquids and vaping systems in the United States. The company also offers energy drink under the Bazi brand name. It sells its products through distributors, specialty retailers, and third-party online resellers to approximately 90 countries, primarily, including the United Kingdom, Italy, Spain, Belgium, Australia, Sweden, and Canada. The company was formerly known as True Drinks Holdings, Inc. and changed its name to Charlie's Holdings, Inc. The company was incorporated in 2014 and is headquartered in Costa Mesa, California."
122,TLSS,PNK,"Transportation and Logistics Systems, Inc.",Feb  3 2021 11:27PM,0.045,0.000,0.000,0.042,0.047,29599868,0.045,0.044,0.010,3.350,0.042,NULL,0.025,51728504,49561314,United States,Industrials,Trucking,NULL,0.000,-1.277,1557067013,NULL,NULL,530,-0.0080,NULL,-61096752.00,1564390016,NULL,us_market,"Transportation and Logistics Systems, Inc. provides tractor-trailer and box truck deliveries of packages on the east coast of the United States. The company offers package delivery services primarily in New York, New Jersey, Pennsylvania, Georgia, Florida, Ohio, and Tennessee, principally for Amazon and its customers, and for other customers. It also provides various logistics services to Amazon and storage solutions for Amazon's customers with limited storage facilities. The company is based in Jupiter, Florida."
123,PLYZ,PNK,Plyzer Technologies Inc.,Feb  3 2021 11:27PM,0.002,0.000,0.000,0.002,0.003,776103448,0.002,0.002,0.000,0.050,0.001,NULL,0.000,401063083,452687505,Canada,Technology,Software—Infrastructure,NULL,0.000,0.000,118763104,NULL,NULL,37,-0.0190,NULL,-10827745.00,119066000,NULL,us_market,"Plyzer Technologies Inc., through its subsidiaries, provides custom, real-time, cloud-based business intelligence solutions for brands to analyze critical online price and market data. Its customizable dashboard enables country, regional and local sales, production, and logistics operations to adapt to prevailing market conditions. The company was formerly known as ZD Ventures Corporation and changed its name to Plyzer Technologies Inc. in March 2017. Plyzer Technologies Inc. was founded in 2005 and is based in Toronto, Canada."
124,A,NYQ,"Agilent Technologies, Inc.",Feb  3 2021 11:27PM,123.500,123.800,122.110,121.900,124.600,1395381,123.500,123.190,61.130,129.340,121.971,NULL,107.971,1791962,1578185,United States,Healthcare,Diagnostics & Research,0.19,0.313,0.135,305729525,2266746,1607990400,16400,15.9150,0.14,719000000.00,306000000,1.310,us_market,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid and gas chromatography systems and components; liquid and gas chromatography mass spectrometry systems; inductively coupled plasma mass and optical emission spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate readers; laboratory software, information management, and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps; and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression profiling, as well as sequencing target enrichment, genetic data management, and interpretation support software; and equipment to produce synthesized oligonucleotide. It also offers immunohistochemistry, in situ hybridization, and hematoxylin and eosin staining and special staining; instruments, consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. It has collaboration agreement with SGS AXYS. The company was incorporated in 1999 and is headquartered in Santa Clara, California."
125,AA,NYQ,Alcoa Corporation,Feb  3 2021 11:27PM,19.110,19.800,19.900,18.850,20.180,10373225,19.110,19.110,5.160,26.200,22.038,NULL,16.738,5823083,7745428,United States,Basic Materials,Aluminum,0.09,0.000,-0.018,185232297,8761436,1607990400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,AAA,PCX,AAF First Priority CLO Bond ETF,Feb  3 2021 11:27PM,25.200,25.130,25.110,25.120,25.400,1165,25.200,25.130,24.870,25.400,25.103,NULL,25.016,1867,1057,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,AAAU,PCX,Goldman Sachs Physical Gold ETF,Feb  3 2021 11:27PM,18.290,18.450,18.240,18.220,18.320,538437,18.290,18.270,14.490,20.630,18.611,NULL,18.915,661150,1021842,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,AACG,NGM,ATA Creativity Global,Feb  3 2021 11:27PM,1.410,1.400,1.230,1.357,1.410,21203,1.410,1.410,0.610,1.870,1.264,NULL,1.177,52432,44414,China,Consumer Defensive,Education & Training Services,6.00,0.000,-0.670,9333057,1193,1607990400,768,NULL,NULL,NULL,31350500,0.030,us_market,"ATA Creativity Global, together with its subsidiaries, provides educational services to individual students through its training center network in China. The company's educational services include portfolio training, educational travel, overseas study counseling, and other educational services. It also offers online courses for students. The company was formerly known as ATA Inc. and changed its name to ATA Creativity Global in September 2019. ATA Creativity Global was founded in 1999 and is based in Beijing, China."
129,AACQ,NCM,Artius Acquisition Inc.,Feb  3 2021 11:27PM,10.930,11.130,11.050,10.930,11.150,1072063,10.930,10.830,9.575,11.300,10.647,NULL,10.128,945417,1533814,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
